#
# This file was downloaded on 2016-06-28 from:
# http://www.ons.gov.uk/ons/guide-method/classifications/current-standard-classifications/standard-industrial-classification/sicCode-2007-weighted-tables-with-percentages-sic03---sicCode-07.xls
#
# It was referenced on this page:
# http://www2.warwick.ac.uk/fac/soc/economics/staff/jcsmith/sicmapping/resources/proportional/
#
# Sic2003	Sic2007	Count %	Employment %	Turnover %
71.23	77.35	100%	100%	100%
71.31	77.31	100%	100%	100%
71.32	77.32	85%	85%	85%
71.32	77.39	15%	15%	15%
71.33	77.33	100%	100%	100%
71.34	77.39	100%	100%	100%
71.40	77.21	47%	23%	25%
71.40	77.22	11%	32%	27%
71.40	77.29	42%	45%	48%
72.10	62.02	100%	100%	100%
72.21	58.21	5%	15%	31%
72.21	58.29	95%	85%	69%
72.22	62.01	15%	26%	29%
72.22	62.02	81%	65%	57%
72.22	62.09	4%	9%	14%
72.30	62.03	11%	3%	1%
72.30	63.11	89%	97%	99%
72.40	58.11	0%	0%	1%
72.40	58.12	0%	3%	1%
72.40	58.13	0%	0%	0%
72.40	58.14	0%	1%	1%
72.40	58.19	10%	17%	12%
72.40	58.29	0%	0%	0%
72.40	59.20	0%	0%	0%
72.40	62.01	1%	0%	0%
72.40	63.11	56%	62%	66%
72.40	63.12	32%	17%	19%
72.50	33.12	2%	2%	1%
72.50	95.11	98%	98%	99%
72.60	62.09	100%	100%	100%
73.10	72.11	6%	2%	1%
73.10	72.19	94%	98%	99%
